date,customer_id,product_id,category_product,amount,discount
44026,2805,10000,CAT1,509,42
44026,3734,10001,CAT8,94,0
44026,3734,10002,CAT8,306,12
44026,3734,10003,CAT8,811,35
44026,3734,10004,CAT8,530,32
44026,3734,10005,CAT2,851,60
44026,3734,10005,CAT2,379,37
44026,3734,10006,CAT2,76,0
44026,3734,10006,CAT2,267,9
44026,3734,10007,CAT2,230,0
44026,3734,10007,CAT2,566,0
44026,3734,10008,CAT2,866,102
44026,3734,10008,CAT2,273,18
44026,3734,10009,CAT2,814,73
44026,3734,10009,CAT2,883,37
44026,3734,10010,CAT8,773,20
44026,3734,10010,CAT8,391,0
44026,3734,10011,CAT8,135,14
44026,3734,10011,CAT8,77,6
44026,3734,10012,CAT8,997,25
44026,3734,10012,CAT8,686,1
44026,3734,10013,CAT8,853,38
44026,3734,10013,CAT8,803,63
44026,3734,10014,CAT8,829,21
44026,3734,10015,CAT8,578,0
44026,3734,10016,CAT8,527,32
44026,3734,10017,CAT8,711,85
44026,3734,10018,CAT8,660,76
44026,3734,10018,CAT8,892,48
44026,3734,10019,CAT8,63,0
44026,3734,10019,CAT8,867,17
44026,3734,10020,CAT8,928,0
44026,3734,10020,CAT8,381,19
44026,3734,10021,CAT8,942,101
44026,3734,10021,CAT8,453,56
44026,2372,10001,CAT8,780,16
44026,2372,10002,CAT8,559,57
44026,2372,10003,CAT8,749,10
44026,2372,10004,CAT8,28,0
44026,2372,10022,CAT8,742,67
44026,2372,10010,CAT8,598,5
44026,2372,10010,CAT8,775,37
44026,2372,10011,CAT8,211,24
44026,2372,10011,CAT8,454,54
44026,2372,10013,CAT8,56,0
44026,2372,10013,CAT8,554,38
44026,2372,10023,CAT1,442,13
44026,2372,10023,CAT1,312,0
44026,2372,10015,CAT8,86,0
44026,2372,10024,CAT1,506,5
44026,2372,10025,CAT1,967,105
44026,2372,10026,CAT1,960,115
44026,2372,10027,CAT1,47,0
44026,2372,10028,CAT1,445,52
44026,2372,10029,CAT4,573,60
44026,2372,10030,CAT1,116,0
44026,2372,10031,CAT8,862,13
44026,2372,10032,CAT7,872,31
44026,2372,10032,CAT7,453,56
44026,2372,10033,CAT7,417,0
44026,2372,10033,CAT7,557,46
44026,2724,10015,CAT8,503,12
44026,2724,10017,CAT8,528,0
44026,2724,10034,CAT1,381,0
44026,1730,10025,CAT1,578,61
44026,1730,10029,CAT4,549,0
44026,4536,10035,CAT3,843,16
44026,1960,10036,CAT1,160,0
44026,4293,10037,CAT7,570,41
44026,4293,10037,CAT7,887,57
44026,4293,10038,CAT7,249,19
44026,4293,10038,CAT7,360,36
44026,4293,10039,CAT7,107,0
44026,4293,10039,CAT7,784,0
44026,4293,10040,CAT7,164,0
44026,4293,10040,CAT7,368,17
44026,4293,10041,CAT7,597,39
44026,4293,10041,CAT7,615,0
44026,4293,10042,CAT7,763,85
44026,4293,10042,CAT7,563,59
44026,4293,10043,CAT7,163,0
44026,4293,10043,CAT7,541,23
44026,4293,10044,CAT7,914,21
44026,4293,10044,CAT7,742,59
44026,4293,10045,CAT7,725,76
44026,4293,10045,CAT7,610,22
44026,678,10046,CAT4,938,54
44026,678,10029,CAT4,778,6
44026,2792,10015,CAT8,583,0
44026,2792,10047,CAT8,630,0
44026,2792,10017,CAT8,66,3
44026,2792,10048,CAT8,262,19
44026,2792,10049,CAT3,724,0
44026,2792,10030,CAT1,422,0
44026,2792,10050,CAT1,145,11
44026,2374,10001,CAT8,382,40
44026,2374,10002,CAT8,156,9
44026,2374,10003,CAT8,782,32
44026,2374,10004,CAT8,125,14
44026,2374,10022,CAT8,296,6
44026,2374,10015,CAT8,375,0
44026,2374,10047,CAT8,753,0
44026,2374,10017,CAT8,329,37
44026,2374,10048,CAT8,213,0
44026,2374,10051,CAT3,728,77
44026,2374,10020,CAT8,921,111
44026,2374,10020,CAT8,199,16
44026,2374,10021,CAT8,110,7
44026,2374,10021,CAT8,380,43
44026,2374,10052,CAT1,583,48
44026,2649,10001,CAT8,393,26
44026,2649,10002,CAT8,387,18
44026,2649,10004,CAT8,784,34
44026,2649,10053,CAT8,536,44
44026,2649,10053,CAT8,706,72
44026,2649,10054,CAT8,591,40
44026,2649,10054,CAT8,965,80
44026,2649,10055,CAT8,893,12
44026,2649,10055,CAT8,40,0
44026,2649,10014,CAT8,889,54
44026,2649,10015,CAT8,174,0
44026,2649,10056,CAT8,564,29
44026,2649,10016,CAT8,183,2
44026,2649,10017,CAT8,363,21
44026,2649,10057,CAT8,281,28
44026,2649,10058,CAT3,74,6
44026,2649,10059,CAT3,324,15
44026,2649,10020,CAT8,340,0
44026,2649,10020,CAT8,294,0
44026,2649,10021,CAT8,101,0
44026,2649,10021,CAT8,132,8
44026,2649,10060,CAT8,872,102
44026,2649,10061,CAT8,786,54
44026,1289,10059,CAT3,87,7
44026,1289,10049,CAT3,370,36
44026,1289,10062,CAT3,307,0
44026,341,10014,CAT8,875,63
44026,341,10015,CAT8,225,22
44026,341,10016,CAT8,527,11
44026,341,10017,CAT8,471,52
44026,341,10031,CAT8,385,47
44026,341,10063,CAT8,303,17
44026,884,10023,CAT1,381,12
44026,884,10023,CAT1,431,32
44026,1830,10064,CAT7,510,47
44026,1830,10065,CAT3,569,48
44026,1830,10066,CAT1,189,19
44026,1830,10066,CAT1,301,8
44026,1830,10059,CAT3,390,8
44026,1830,10067,CAT4,52,0
44026,1830,10068,CAT4,632,39
44026,1830,10069,CAT4,155,13
44026,1830,10070,CAT4,518,16
44026,1830,10071,CAT1,478,9
44026,1830,10072,CAT1,698,21
44026,1830,10000,CAT1,852,23
44026,4024,10073,CAT1,197,10
44026,3520,10074,CAT5,928,113
44026,3520,10074,CAT5,99,5
44026,1416,10001,CAT8,206,0
44026,1416,10002,CAT8,888,94
44026,1416,10003,CAT8,343,0
44026,1416,10022,CAT8,333,28
44026,1416,10017,CAT8,785,11
44026,1416,10074,CAT5,902,29
44026,1416,10074,CAT5,307,16
44026,1416,10075,CAT3,968,116
44026,1416,10029,CAT4,39,0
44026,1960,10036,CAT1,525,34
44026,1927,10076,CAT3,176,12
44026,1927,10067,CAT4,114,4
44026,1927,10068,CAT4,632,31
44026,1927,10070,CAT4,667,0
44026,3520,10077,CAT9,396,43
44026,4596,10047,CAT8,129,0
44026,4596,10048,CAT8,53,0
44026,4596,10057,CAT8,590,57
44026,3459,10001,CAT8,869,81
44026,3459,10003,CAT8,655,23
44026,3459,10078,CAT7,694,36
44026,3459,10079,CAT7,701,21
44026,3459,10076,CAT3,880,17
44026,3459,10067,CAT4,627,0
44026,3459,10080,CAT1,73,0
44026,3459,10081,CAT1,555,33
44026,3459,10031,CAT8,475,0
44026,4206,10064,CAT7,869,19
44026,4206,10078,CAT7,853,36
44026,4206,10058,CAT3,186,0
44026,4206,10077,CAT9,253,28
44026,1751,10015,CAT8,60,0
44026,1751,10047,CAT8,868,93
44026,1751,10056,CAT8,641,72
44026,1751,10017,CAT8,259,0
44026,1751,10048,CAT8,454,33
44026,1751,10057,CAT8,435,44
44026,1880,10082,CAT2,456,0
44026,1880,10082,CAT2,781,92
44026,1880,10059,CAT3,172,21
44026,4140,10083,CAT1,501,35
44026,4217,10084,CAT2,437,54
44026,4217,10084,CAT2,483,0
44026,4217,10085,CAT2,266,13
44026,4217,10085,CAT2,783,41
44026,4217,10086,CAT8,956,102
44026,4217,10086,CAT8,585,9
44026,4217,10013,CAT8,722,4
44026,4217,10013,CAT8,366,39
44026,4217,10047,CAT8,269,14
44026,3439,10087,CAT3,478,36
44026,3439,10037,CAT7,546,55
44026,3439,10037,CAT7,937,53
44026,3439,10038,CAT7,873,104
44026,3439,10038,CAT7,192,17
44026,3439,10039,CAT7,621,1
44026,3439,10039,CAT7,222,12
44026,3439,10040,CAT7,86,10
44026,3439,10040,CAT7,334,38
44026,3439,10088,CAT7,875,48
44026,3439,10088,CAT7,297,0
44026,3439,10041,CAT7,399,0
44026,3439,10041,CAT7,885,65
44026,3439,10042,CAT7,929,52
44026,3439,10042,CAT7,129,12
44026,4632,10059,CAT3,681,14
44026,3439,10044,CAT7,809,39
44026,3439,10044,CAT7,522,38
44026,3439,10032,CAT7,799,81
44026,3439,10032,CAT7,922,49
44026,3439,10033,CAT7,866,74
44026,3439,10033,CAT7,681,0
44026,4637,10064,CAT7,249,0
44026,4637,10078,CAT7,295,31
44026,4637,10076,CAT3,984,87
44026,4637,10058,CAT3,984,114
44026,4637,10059,CAT3,136,10
44026,4637,10049,CAT3,532,15
44026,4637,10089,CAT3,675,83
44026,4637,10090,CAT3,17,0
44026,4637,10091,CAT9,546,2
44026,4637,10080,CAT1,201,22
44026,4637,10050,CAT1,631,42
44026,4637,10081,CAT1,23,0
44026,4637,10073,CAT1,609,7
44026,4637,10034,CAT1,677,70
44026,4637,10092,CAT1,674,13
44026,4637,10031,CAT8,261,26
44026,4824,10093,CAT9,163,14
44026,4632,10094,CAT3,933,96
44026,4632,10034,CAT1,122,0
44026,4632,10052,CAT1,209,0
44026,1603,10095,CAT2,675,84
44026,1603,10095,CAT2,419,21
44026,1603,10005,CAT2,58,5
44026,1603,10005,CAT2,26,0
44026,1603,10006,CAT2,66,0
44026,1603,10006,CAT2,956,85
44026,1603,10008,CAT2,324,33
44026,1603,10008,CAT2,65,0
44026,1603,10007,CAT2,793,15
44026,1603,10007,CAT2,741,4
44026,1603,10096,CAT2,45,0
44026,1603,10096,CAT2,901,0
44026,1603,10008,CAT2,618,56
44026,1603,10008,CAT2,113,3
44026,1603,10009,CAT2,951,0
44026,1603,10009,CAT2,687,32
44026,3440,10005,CAT2,920,10
