customer_id,score,tier,target
1,0.40290345057492455,Tier B - Activacion estandar,1
2,0.5070837081345584,Tier B - Activacion estandar,0
3,0.31529678512313325,Tier C - Nurturing,0
4,0.34208411148124185,Tier C - Nurturing,0
5,0.5255348523801361,Tier B - Activacion estandar,0
6,0.6696241512319812,Tier B - Activacion estandar,0
7,0.4851578837328024,Tier B - Activacion estandar,0
8,0.5626561926472486,Tier B - Activacion estandar,0
9,0.5638663331766104,Tier B - Activacion estandar,0
10,0.49486055043859106,Tier B - Activacion estandar,0
11,0.5052482688488757,Tier B - Activacion estandar,0
12,0.4655735538825804,Tier B - Activacion estandar,1
13,0.5167213008423869,Tier B - Activacion estandar,0
14,0.40927403493204045,Tier B - Activacion estandar,0
15,0.510694052912081,Tier B - Activacion estandar,1
16,0.499446538565878,Tier B - Activacion estandar,0
17,0.440473964058844,Tier B - Activacion estandar,0
18,0.5327973483555689,Tier B - Activacion estandar,0
19,0.474245640189279,Tier B - Activacion estandar,0
20,0.4402935439363999,Tier B - Activacion estandar,0
21,0.5637682699901971,Tier B - Activacion estandar,0
22,0.43028470151139836,Tier B - Activacion estandar,0
23,0.4780844787369224,Tier B - Activacion estandar,0
24,0.5429152129765817,Tier B - Activacion estandar,0
25,0.45180105155096806,Tier B - Activacion estandar,0
26,0.4435747436284216,Tier B - Activacion estandar,0
27,0.3818800564606352,Tier C - Nurturing,1
28,0.5270508248071625,Tier B - Activacion estandar,1
29,0.3742063904822024,Tier C - Nurturing,0
30,0.5622235883136292,Tier B - Activacion estandar,0
31,0.517329469360004,Tier B - Activacion estandar,0
32,0.5460304837625444,Tier B - Activacion estandar,0
33,0.5288608612021742,Tier B - Activacion estandar,0
34,0.5045273178947178,Tier B - Activacion estandar,0
35,0.44733068492696226,Tier B - Activacion estandar,0
36,0.6140286276400055,Tier B - Activacion estandar,0
37,0.47883512581459303,Tier B - Activacion estandar,0
38,0.5373123972785927,Tier B - Activacion estandar,0
39,0.464551179709767,Tier B - Activacion estandar,0
40,0.45989107004251084,Tier B - Activacion estandar,0
41,0.4211865602494955,Tier B - Activacion estandar,0
42,0.49207487307474035,Tier B - Activacion estandar,0
43,0.4662339903455659,Tier B - Activacion estandar,1
44,0.5315753772180293,Tier B - Activacion estandar,1
45,0.485356017921416,Tier B - Activacion estandar,0
46,0.44439903120872715,Tier B - Activacion estandar,1
47,0.423004688711467,Tier B - Activacion estandar,0
48,0.5008234923620941,Tier B - Activacion estandar,0
49,0.46705216497872915,Tier B - Activacion estandar,0
50,0.5647235646564887,Tier B - Activacion estandar,1
51,0.5594473013399995,Tier B - Activacion estandar,0
52,0.5308653331797165,Tier B - Activacion estandar,1
53,0.5055954687327104,Tier B - Activacion estandar,1
54,0.46688645501701764,Tier B - Activacion estandar,0
55,0.5140747544483188,Tier B - Activacion estandar,1
56,0.4888089483311438,Tier B - Activacion estandar,0
57,0.5265769187016623,Tier B - Activacion estandar,0
58,0.44417496245275345,Tier B - Activacion estandar,0
59,0.5880277826816482,Tier B - Activacion estandar,0
60,0.4362099296755088,Tier B - Activacion estandar,0
61,0.507322161625291,Tier B - Activacion estandar,0
62,0.589069519747224,Tier B - Activacion estandar,0
63,0.520284920150696,Tier B - Activacion estandar,0
64,0.5325697193303403,Tier B - Activacion estandar,0
65,0.4511831039007326,Tier B - Activacion estandar,0
66,0.4404490671510577,Tier B - Activacion estandar,0
67,0.4534434575340607,Tier B - Activacion estandar,0
68,0.40351577952235035,Tier B - Activacion estandar,0
69,0.44038564020476734,Tier B - Activacion estandar,0
70,0.5260462030863504,Tier B - Activacion estandar,0
71,0.5705891789906764,Tier B - Activacion estandar,1
72,0.4450431813666801,Tier B - Activacion estandar,0
73,0.4440804794462055,Tier B - Activacion estandar,0
74,0.4837696983080977,Tier B - Activacion estandar,0
75,0.5710269701340894,Tier B - Activacion estandar,0
76,0.5106055447293611,Tier B - Activacion estandar,0
77,0.5438800561659781,Tier B - Activacion estandar,0
78,0.5192488318303321,Tier B - Activacion estandar,0
79,0.44158618868582195,Tier B - Activacion estandar,0
80,0.4601978363962279,Tier B - Activacion estandar,0
81,0.45927961403307543,Tier B - Activacion estandar,0
82,0.44874405917820925,Tier B - Activacion estandar,0
83,0.4703772594228563,Tier B - Activacion estandar,0
84,0.5090487375264469,Tier B - Activacion estandar,0
85,0.4843340670376564,Tier B - Activacion estandar,0
86,0.4424671410800073,Tier B - Activacion estandar,0
87,0.49838151209893955,Tier B - Activacion estandar,0
88,0.5256985376335864,Tier B - Activacion estandar,0
89,0.5484348443926435,Tier B - Activacion estandar,0
90,0.42222586296810827,Tier B - Activacion estandar,0
91,0.5050038802325949,Tier B - Activacion estandar,0
